,N,rho,Arrival,Sparsity,Mean_Est,CI_Width
132,7,0.9,diagonal,0.2,28.013838,0.14606478819607202
133,7,0.9,diagonal,0.3,27.944423,0.16782845521174963
134,7,0.9,diagonal,0.4,27.961176000000002,0.18704040880196757
135,7,0.9,diagonal,0.5,27.950441,0.168841744235811
136,7,0.9,diagonal,0.6,27.843975,0.1597041003636638
137,7,0.9,diagonal,0.7,27.810171999999998,0.1590960207417009
138,7,0.9,diagonal,0.8,28.067091,0.2031388223331085
139,7,0.9,diagonal,0.9,28.824676000000004,0.17924267832031737
140,7,0.9,skewed_bot,0.0,7.932633999999999,0.07724067782096042
141,7,0.9,skewed_bot,0.1,7.964853999999998,0.07088300920966241
142,7,0.9,skewed_bot,0.2,7.967526,0.08174233307032512
143,7,0.9,skewed_bot,0.3,7.941451000000001,0.07052273014813855
144,7,0.9,skewed_bot,0.4,7.962817,0.08267166151979496
145,7,0.9,skewed_bot,0.5,7.855335,0.07168890037098354
146,7,0.9,skewed_bot,0.6,7.945328,0.07118937453929843
147,7,0.9,skewed_bot,0.7,8.032315,0.08589574365652816
148,7,0.9,skewed_bot,0.8,8.101854,0.08650192658441479
149,7,0.9,skewed_bot,0.9,9.224114,0.09194533402752816
150,8,0.9,uniform,0.0,69.140731,0.6669189779913858
151,8,0.9,uniform,0.1,68.38678300000001,0.535098137020071
152,8,0.9,uniform,0.2,68.735947,0.6435772328921436
153,8,0.9,uniform,0.3,68.608304,0.5660547456774174
154,8,0.9,uniform,0.4,68.721233,0.6748523190494456
155,8,0.9,uniform,0.5,68.635571,0.6442868058756719
156,8,0.9,uniform,0.6,68.91524299999999,0.6315373486664885
157,8,0.9,uniform,0.7,72.54175500000001,0.5915221575232016
158,8,0.9,uniform,0.8,87.10384,0.8096669582574304
159,8,0.9,uniform,0.9,169.45387199999996,3.6223333567247447
160,8,0.9,diagonal,0.0,32.451557,0.16333148796223718
161,8,0.9,diagonal,0.1,32.345252,0.19284850380389643
162,8,0.9,diagonal,0.2,32.268824,0.17438338478467708
163,8,0.9,diagonal,0.3,32.333794000000005,0.17727793842262166
164,8,0.9,diagonal,0.4,32.468888,0.1699293381897364
165,8,0.9,diagonal,0.5,32.379567,0.2161951605914366
166,8,0.9,diagonal,0.6,32.325539,0.17829999627304347
167,8,0.9,diagonal,0.7,32.407755,0.21451288564073354
168,8,0.9,diagonal,0.8,32.497259,0.17578507052433948
169,8,0.9,diagonal,0.9,32.700536,0.20280544148960142
170,8,0.9,skewed_bot,0.0,8.581207,0.08930014589916878
171,8,0.9,skewed_bot,0.1,8.482558,0.07914998748887549
172,8,0.9,skewed_bot,0.2,8.522841999999999,0.08266348898125914
173,8,0.9,skewed_bot,0.3,8.496381000000001,0.07898953262196486
174,8,0.9,skewed_bot,0.4,8.494959999999999,0.08519742383902462
175,8,0.9,skewed_bot,0.5,8.504912000000001,0.08138801048591976
176,8,0.9,skewed_bot,0.6,8.492059,0.08449633274357297
177,8,0.9,skewed_bot,0.7,8.585573,0.09435969804842251
178,8,0.9,skewed_bot,0.8,8.564535,0.07079600050516413
179,8,0.9,skewed_bot,0.9,8.919861000000001,0.0822840691987126
